id,title,url,filename,item_code,base_code,translation_key,item_code_family,category,section,language,topics,year,bytes,size_human,last_modified,source_page,source_title,source_count,host,status
1,A.A. Guidelines - Bridging the Gap,https://aaws.widen.net/content/zzvnu0toie/pdf/mg-21_bridging_the_gap_online.pdf,mg-21_bridging_the_gap_online.pdf,MG-21,MG-21,MG-21|,A.A. Guidelines,A.A. Guidelines,A.A. Guidelines,English,Guidelines; Workbook / Kit,,41278,40.3 KB,2026-08-05,https://www.aa.org/aa-guidelines-bridging-gap,A.A. Guidelines - Bridging the Gap,1,aaws.widen.net,ok
2,A.A. Guidelines - Participation of Online Groups,https://aaws.widen.net/content/5opivhiejg/pdf/MG-26_Participation_of_Online_Groups_ONLINE.pdf,MG-26_Participation_of_Online_Groups_ONLINE.pdf,MG-26,MG-26,MG-26|,A.A. Guidelines,A.A. Guidelines,A.A. Guidelines,English,Guidelines; Workbook / Kit,,123802,120.9 KB,2026-08-04,https://www.aa.org/aa-guidelines-participation-online-groups,A.A. Guidelines - Participation of Online Groups,1,aaws.widen.net,ok
3,A.A. Guidelines for A.A. Members Employed in the Alcoholism Field,https://aaws.widen.net/content/dq5ug988cz/pdf/mg-10_for_aa_members_online.pdf,mg-10_for_aa_members_online.pdf,MG-10,MG-10,MG-10|,A.A. Guidelines,A.A. Guidelines,A.A. Guidelines,English,Professionals; Guidelines; Workbook / Kit,,39058,38.1 KB,2026-08-04,https://www.aa.org/aa-guidelines-aa-members-employed-alcoholism-field,A.A. Guidelines for A.A. Members Employed in the Alcoholism Field,1,aaws.widen.net,ok
4,A.A. Guidelines for Remote Communities,https://aaws.widen.net/content/8xa6v08bum/pdf/mg-19_remote_comunities_online.pdf,mg-19_remote_comunities_online.pdf,MG-19,MG-19,MG-19|,A.A. Guidelines,A.A. Guidelines,A.A. Guidelines,English,Remote Communities; Guidelines; Workbook / Kit,,41419,40.4 KB,2024-02-13,https://www.aa.org/aa-guidelines-remote-communities,A.A. Guidelines for Remote Communities,1,aaws.widen.net,ok
5,A.A. Guidelines on A.A. Answering Services,https://aaws.widen.net/content/xrlr0bhuid/pdf/mg-12_aa_answering_services_online.pdf,mg-12_aa_answering_services_online.pdf,MG-12,MG-12,MG-12|,A.A. Guidelines,A.A. Guidelines,A.A. Guidelines,English,Guidelines; Workbook / Kit,,34990,34.2 KB,2026-09-09,https://www.aa.org/aa-guidelines-aa-answering-services,A.A. Guidelines on A.A. Answering Services,1,aaws.widen.net,ok
6,A.A. Guidelines on Accessibility,https://aaws.widen.net/content/ikbgyuaxb5/pdf/mg-16_accessibility_for_all_alcoholics_online.pdf,mg-16_accessibility_for_all_alcoholics_online.pdf,MG-16,MG-16,MG-16|,A.A. Guidelines,A.A. Guidelines,A.A. Guidelines,English,Accessibility; Guidelines; Workbook / Kit,,184338,180.0 KB,2025-12-15,https://www.aa.org/aa-guidelines-accessibility-all-alcoholics,A.A. Guidelines on Accessibility,2,aaws.widen.net,ok
7,A.A. Guidelines on Archives,https://aaws.widen.net/content/foxclublno/pdf/mg-17_archives_online.pdf,mg-17_archives_online.pdf,MG-17,MG-17,MG-17|,A.A. Guidelines,A.A. Guidelines,A.A. Guidelines,English,Archives; Guidelines; Workbook / Kit,,60892,59.5 KB,2026-08-05,https://www.aa.org/aa-guidelines-archives,A.A. Guidelines on Archives,1,aaws.widen.net,ok
8,A.A. Guidelines on Central or Intergroup Offices,https://aaws.widen.net/content/djpbqgriaq/pdf/mg-2_intergroup_or_central_offices_online.pdf,mg-2_intergroup_or_central_offices_online.pdf,MG-2,MG-2,MG-2|,A.A. Guidelines,A.A. Guidelines,A.A. Guidelines,English,Guidelines; Workbook / Kit,,63354,61.9 KB,2026-02-12,https://www.aa.org/aa-guidelines-central-or-intergroup-offices,A.A. Guidelines on Central or Intergroup Offices,1,aaws.widen.net,ok
9,"A.A. Guidelines on Conferences, Conventions and Roundups",https://aaws.widen.net/content/n7q0oy3ast/pdf/mg-4_conference_conventions__roundups_online.pdf,mg-4_conference_conventions__roundups_online.pdf,MG-4,MG-4,MG-4|,A.A. Guidelines,A.A. Guidelines,A.A. Guidelines,English,Guidelines; Conference; Workbook / Kit,,69985,68.3 KB,2026-03-31,https://www.aa.org/aa-guidelines-conferences-conventions-and-roundups,"A.A. Guidelines on Conferences, Conventions and Roundups",1,aaws.widen.net,ok
10,"A.A. Guidelines on Cooperating with Court, D.W.I. and Similar Programs",https://aaws.widen.net/content/6u2lb3rft2/pdf/mg-5_cooperation_with_courts_online.pdf,mg-5_cooperation_with_courts_online.pdf,MG-5,MG-5,MG-5|,A.A. Guidelines,A.A. Guidelines,A.A. Guidelines,English,Guidelines; Workbook / Kit,,43202,42.2 KB,2026-03-25,https://www.aa.org/aa-guidelines-cooperating-court-dwi-and-similar-programs,"A.A. Guidelines on Cooperating with Court, D.W.I. and Similar Programs",1,aaws.widen.net,ok
11,A.A. Guidelines on Cooperation With the Professional Community,https://aaws.widen.net/content/k2rbbtna6d/pdf/mg-11_cpc_online.pdf,mg-11_cpc_online.pdf,MG-11,MG-11,MG-11|,A.A. Guidelines,A.A. Guidelines,A.A. Guidelines,English,Professionals; Guidelines; Workbook / Kit,,63241,61.8 KB,2026-03-25,https://www.aa.org/aa-guidelines-cooperation-professional-community,A.A. Guidelines on Cooperation With the Professional Community,1,aaws.widen.net,ok
12,A.A. Guidelines on Corrections Committees,https://aaws.widen.net/content/9lk1ph8aqv/pdf/mg-6_corrections_online.pdf,mg-6_corrections_online.pdf,MG-6,MG-6,MG-6|,A.A. Guidelines,A.A. Guidelines,A.A. Guidelines,English,Corrections; Guidelines; Workbook / Kit,,49978,48.8 KB,2025-11-25,https://www.aa.org/aa-guidelines-corrections-committees,A.A. Guidelines on Corrections Committees,1,aaws.widen.net,ok
13,A.A. Guidelines on Finance,https://aaws.widen.net/content/uhcnssi2zv/pdf/mg-15_finance_online.pdf,mg-15_finance_online.pdf,MG-15,MG-15,MG-15|,A.A. Guidelines,A.A. Guidelines,A.A. Guidelines,English,Self-Support; Guidelines; Workbook / Kit,,91322,89.2 KB,2026-03-25,https://www.aa.org/aa-guidelines-finance,A.A. Guidelines on Finance,1,aaws.widen.net,ok
14,A.A. Guidelines on Internet,https://aaws.widen.net/content/2lc7w7xylc/pdf/mg-18_internet_online.pdf,mg-18_internet_online.pdf,MG-18,MG-18,MG-18|,A.A. Guidelines,A.A. Guidelines,A.A. Guidelines,English,Guidelines; Workbook / Kit,,62835,61.4 KB,2026-06-25,https://www.aa.org/aa-guidelines-internet,A.A. Guidelines on Internet,1,aaws.widen.net,ok
15,A.A. Guidelines on Literature Committees,https://aaws.widen.net/content/u19jo2glks/pdf/mg-9_literature_online.pdf,mg-9_literature_online.pdf,MG-9,MG-9,MG-9|,A.A. Guidelines,A.A. Guidelines,A.A. Guidelines,English,Guidelines; Workbook / Kit,,62354,60.9 KB,2026-03-26,https://www.aa.org/aa-guidelines-literature-committees,A.A. Guidelines on Literature Committees,1,aaws.widen.net,ok
